method,question,expected,correct_found,irrelevant_chunks,latency_ms
Keyword,What is the dinner per diem allowance?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,4,2065.9
Keyword,What class is permitted for international flights over 6 hours?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,3,76.6
Keyword,How long do employees have to submit expenses after incurring them?,FIN-EXP-001_Travel_Expense_Guidelines.txt,0,5,154.6
Keyword,Are credit card statements acceptable as receipts?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,3,572.3
Keyword,What is the one-time home office setup allowance?,FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,3,587.4
Keyword,What is the monthly internet stipend for remote workers?,FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,3,293.7
Keyword,How many days of coworking space can be reimbursed per month?,FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,3,2068.3
Keyword,What is the annual training budget for individual contributors?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,2,419.6
Keyword,What bonus is paid for passing an expert-level certification?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,4,101.6
Keyword,What percentage must be repaid if an employee leaves within 6 months of completing training?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,2,79.0
Keyword,How many days annual leave does an employee with 3 years service get?,HR-LEA-001_Annual_Leave_Policy.md,1,3,1787.1
Keyword,How far in advance must leave exceeding 10 consecutive days be requested?,HR-LEA-001_Annual_Leave_Policy.md,1,3,469.2
Keyword,What is the maximum carry-over of annual leave?,HR-LEA-001_Annual_Leave_Policy.md,1,0,1229.4
Keyword,By what date must carried-over leave be used?,HR-LEA-001_Annual_Leave_Policy.md,1,4,478.8
Keyword,How many separate absences trigger a formal absence review?,HR-LEA-002_Sick_Leave_Policy.md,1,2,404.1
Keyword,When must a medical certificate be provided to HR?,HR-LEA-002_Sick_Leave_Policy.md,1,4,380.6
Keyword,What must happen within 2 days after returning from 5 days absence?,HR-LEA-002_Sick_Leave_Policy.md,1,3,338.9
Keyword,How many Keeping in Touch days can an employee on parental leave work?,HR-LEA-003_Parental_Leave_Policy.md,1,3,1180.4
Keyword,What leave is available for IVF treatment?,HR-LEA-003_Parental_Leave_Policy.md,1,3,406.5
Keyword,What is the adoption leave entitlement?,HR-LEA-003_Parental_Leave_Policy.md,1,3,466.9
Keyword,How long must interview notes be retained?,HR-POL-002_Recruitment_and_Selection.pdf,1,2,605.8
Keyword,How many days must a role be advertised internally before external posting?,HR-POL-002_Recruitment_and_Selection.pdf,1,2,264.7
Keyword,How soon must a written contract follow a verbal job offer?,HR-POL-002_Recruitment_and_Selection.pdf,1,3,250.4
Keyword,How many SMART goals must be agreed at the start of each year?,HR-POL-003_Performance_Management.pdf,1,2,113.1
