method,question,expected,correct_found,irrelevant_chunks,latency_ms
Keyword,"If I'm traveling for work, how much can I spend on dinner each day?",FIN-EXP-001_Travel_Expense_Guidelines.txt,0,1,810.3
Keyword,Can I book business class on an international flight that's longer than six hours?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,52.3
Keyword,What's the deadline for submitting my travel reimbursement after a trip?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,53.0
Keyword,Can I use my credit card statement instead of an itemized receipt for reimbursement?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,54.6
Keyword,"Does the company help pay for desks, chairs, or monitors when working from home?",FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,0,1,52.7
Keyword,How much does the company reimburse each month for home internet while working remotely?,FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,53.7
Keyword,"If I prefer working from a coworking space, how many days each month are covered?",FIN-EXP-002_Remote_Work_Expense_Guidelines.txt,1,0,53.0
Keyword,How much funding is available each year for professional development courses?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,53.2
Keyword,Is there a reward for earning an expert-level professional certification?,FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,48.6
Keyword,"If I resign within six months after company-funded training, how much of the cost must I repay?",FIN-EXP-003_Conference_and_Training_Expenses.txt,1,0,49.2
Keyword,"After working here for three years, how much paid vacation do I receive each year?",HR-LEA-001_Annual_Leave_Policy.md,1,0,56.3
Keyword,How early should I request vacation if I plan to be away for more than ten consecutive days?,HR-LEA-001_Annual_Leave_Policy.md,0,1,49.0
Keyword,What's the maximum amount of unused vacation I can carry into the next year?,HR-LEA-001_Annual_Leave_Policy.md,1,0,57.8
Keyword,When is the final deadline to use any vacation carried over from last year?,HR-LEA-001_Annual_Leave_Policy.md,1,0,56.6
Keyword,How many separate sick leave occurrences lead to a formal attendance review?,HR-LEA-002_Sick_Leave_Policy.md,1,0,57.6
Keyword,At what point do I need to provide HR with a doctor's note for sick leave?,HR-LEA-002_Sick_Leave_Policy.md,1,0,84.8
Keyword,"After returning from being sick for five days, what must I do within the next two days?",HR-LEA-002_Sick_Leave_Policy.md,1,0,51.4
Keyword,"While on parental leave, how many Keeping in Touch days am I allowed to work?",HR-LEA-003_Parental_Leave_Policy.md,1,0,48.2
Keyword,Does the company provide any leave for employees undergoing IVF treatment?,HR-LEA-003_Parental_Leave_Policy.md,1,0,59.1
Keyword,How much leave can someone take after adopting a child?,HR-LEA-003_Parental_Leave_Policy.md,1,0,49.4
Keyword,How long should hiring managers keep interview evaluation notes?,HR-POL-002_Recruitment_and_Selection.pdf,1,0,61.4
Keyword,"Before hiring externally, how long must a vacancy be advertised to current employees?",HR-POL-002_Recruitment_and_Selection.pdf,1,0,52.2
Keyword,"After someone verbally accepts a job offer, how quickly must the written contract be issued?",HR-POL-002_Recruitment_and_Selection.pdf,1,0,716.6
Keyword,"At the beginning of the performance cycle, how many SMART objectives should each employee set?",HR-POL-003_Performance_Management.pdf,1,0,115.3
Keyword,What happens if an employee receives a 'Needs Improvement' rating in two consecutive reviews?,HR-POL-003_Performance_Management.pdf,1,0,352.3
Keyword,Where should shared passwords or account credentials be stored securely?,IT-PROC-001_Password_Management.docx,1,0,80.9
Keyword,Who approves requests to install software that isn't normally permitted?,IT-PROC-002_Software_Installation.docx,1,0,53.0
Keyword,How long does the security team have to evaluate software before giving approval?,IT-PROC-002_Software_Installation.docx,1,0,78.6
Keyword,What are the stages the company follows when responding to a cybersecurity incident?,IT-PROC-003_Incident_Response.docx,0,1,55.5
Keyword,"For a Priority 1 incident, how quickly must the root cause investigation be completed?",IT-PROC-003_Incident_Response.docx,1,0,49.4
Keyword,"Even after a vendor contract ends, how long must confidential information continue to be protected?",VEN-CON-001_CloudHosting_MSA.pdf,0,1,56.4
Vector,"If I'm traveling for work, how much can I spend on dinner each day?",FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,3014.7
Vector,Can I book business class on an international flight that's longer than six hours?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,1447.8
Vector,What's the deadline for submitting my travel reimbursement after a trip?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,2769.1
Vector,Can I use my credit card statement instead of an itemized receipt for reimbursement?,FIN-EXP-001_Travel_Expense_Guidelines.txt,1,0,3862.2
